M-oM-;M-?"project","access","year","month","day","articles__article","articles__views","articles__rank"^M
"lv.wikipedia","all-access","2018","01","all-days","Bitcoin","3291","37"^M
"lv.wikipedia","all-access","2018","01","all-days","MeteM-EM-^Fi","3237","38"^M
"lv.wikipedia","all-access","2018","01","all-days","AustrM-DM-^Alija","3225","39"^M
"lv.wikipedia","all-access","2018","01","all-days","SenM-DM-^A_GrieM-DM-7ija","3205","40"^M
"lv.wikipedia","all-access","2018","01","all-days","Oleksandrs_Usiks","3177","41"^M
"lv.wikipedia","all-access","2018","01","all-days","M-DM-6M-DM-+na","3174","42"^M
"lv.wikipedia","all-access","2018","01","all-days","Amerikas_SavienotM-DM-^As_Valstis","3114","43"^M
"lv.wikipedia","all-access","2018","01","all-days","Indija","3097","44"^M
"lv.wikipedia","all-access","2018","01","all-days","Pirmais_pasaules_karM-EM-!","3074","45"^M
"lv.wikipedia","all-access","2018","01","all-days","VispM-DM-^ArM-DM-^Sjie_latvieM-EM-!u_Dziesmu_un_Deju_svM-DM-^Stki","3062","46"^M
"lv.wikipedia","all-access","2018","01","all-days","Eiropa","3061","47"^M
"lv.wikipedia","all-access","2018","01","all-days","Imants_Ziedonis","3028","48"^M
"lv.wikipedia","all-access","2018","01","all-days","JapM-DM-^Ana","3013","49"^M
"lv.wikipedia","all-access","2018","01","all-days","M-DM-^@frika","3009","50"^M
"lv.wikipedia","all-access","2018","01","all-days","LatvieM-EM-!u_alfabM-DM-^Sts","2990","51"^M
"lv.wikipedia","all-access","2018","01","all-days","Daugava","2949","52"^M
"lv.wikipedia","all-access","2018","01","all-days","Olbaltumvielas","2916","53"^M
"lv.wikipedia","all-access","2018","01","all-days","Latvijas_svM-DM-^Stku,_atceres_un_atzM-DM-+mM-DM-^SjamM-DM-^As_dienas","2799","54"^M
"lv.wikipedia","all-access","2018","01","all-days","Nafta","2771","55"^M
"lv.wikipedia","all-access","2018","01","all-days","Kristaps_PorziM-EM-^FM-DM-#is","2764","56"^M
"lv.wikipedia","all-access","2018","01","all-days","Lietuva","2726","57"^M
"lv.wikipedia","all-access","2018","01","all-days","Kategorija:GrieM-DM-7u_dievi","2706","58"^M
"lv.wikipedia","all-access","2018","01","all-days","Floridas_M-EM-!aurums","2694","59"^M
"lv.wikipedia","all-access","2018","01","all-days","Nameisis","2690","60"^M
"lv.wikipedia","all-access","2018","01","all-days","M-DM-6M-DM-+misko_elementu_periodiskM-DM-^A_tabula","2638","61"^M
"lv.wikipedia","all-access","2018","01","all-days","Renesanse","2617","62"^M
"lv.wikipedia","all-access","2018","01","all-days","Zeme","2602","63"^M
"lv.wikipedia","all-access","2018","01","all-days","ApvienotM-DM-^A_Karaliste","2600","64"^M
"lv.wikipedia","all-access","2018","01","all-days","OlimpiskM-DM-^As_spM-DM-^Sles","2594","65"^M
"lv.wikipedia","all-access","2018","01","all-days","Latvijas_pilsM-DM-^Stu_uzskaitM-DM-+jums","2586","66"^M
"lv.wikipedia","all-access","2018","01","all-days","Latvijas_pilsM-DM-^Stu_M-DM-#erboM-EM-^Fi","2564","67"^M
"lv.wikipedia","all-access","2018","01","all-days","LatvieM-EM-!u_valoda","2548","68"^M
"lv.wikipedia","all-access","2018","01","all-days","OjM-DM-^Ars_VM-DM-^Acietis","2539","69"^M
"lv.wikipedia","all-access","2018","01","all-days","BrM-DM-+vM-DM-+bas_piemineklis","2499","70"^M
"lv.wikipedia","all-access","2018","01","all-days","Padomju_SavienM-DM-+ba","2498","71"^M
"lv.wikipedia","all-access","2018","01","all-days","SpM-DM-^Anija","2467","72"^M
"lv.wikipedia","all-access","2018","01","all-days","Rainis","2457","73"^M
"lv.wikipedia","all-access","2018","01","all-days","Igaunija","2415","74"^M
"lv.wikipedia","all-access","2018","01","all-days","Latvijas_Valsts_prezidents","2409","75"^M
"lv.wikipedia","all-access","2018","01","all-days","Aspazija","2396","76"^M
"lv.wikipedia","all-access","2018","01","all-days","Vikiprojekts:Ziemas_olimpisko_spM-DM-^SM-DM-<u_konkurss","2377","77"^M
"lv.wikipedia","all-access","2018","01","all-days","Zviedrija","2359","78"^M
"lv.wikipedia","all-access","2018","01","all-days","OsmaM-EM-^Fu_dinastija","2338","79"^M
"lv.wikipedia","all-access","2018","01","all-days","Somija","2272","80"^M
"lv.wikipedia","all-access","2018","01","all-days","Starptautisko_tM-DM-^Alsarunu_kodu_saraksts","2267","81"^M
"lv.wikipedia","all-access","2018","01","all-days","Polija","2265","82"^M
"lv.wikipedia","all-access","2018","01","all-days","M-DM-^@zija","2263","83"^M
"lv.wikipedia","all-access","2018","01","all-days","JM-DM-^AM-EM-^Fi","2263","83"^M
"lv.wikipedia","all-access","2018","01","all-days","RomieM-EM-!u_skaitM-DM-<i","2252","85"^M
"lv.wikipedia","all-access","2018","01","all-days","M-EM- veice","2227","86"^M
"lv.wikipedia","all-access","2018","01","all-days","ItM-DM-^Alija","2217","87"^M
"lv.wikipedia","all-access","2018","01","all-days","SenM-DM-^A_Roma","2215","88"^M
"lv.wikipedia","all-access","2018","01","all-days","EnerM-DM-#ija","2212","89"^M
"lv.wikipedia","all-access","2018","01","all-days","PapM-DM-+ra_lapas_formM-DM-^Ats","2207","90"^M
"lv.wikipedia","all-access","2018","01","all-days","DemokrM-DM-^Atija","2204","91"^M
"lv.wikipedia","all-access","2018","01","all-days","2017._gads_LatvijM-DM-^A","2194","92"^M
"lv.wikipedia","all-access","2018","01","all-days","JaunlatvieM-EM-!i","2192","93"^M
"lv.wikipedia","all-access","2018","01","all-days","ISBN","2189","94"^M
"lv.wikipedia","all-access","2018","01","all-days","Latvijas_ezeru_uzskaitM-DM-+jums","2187","95"^M
"lv.wikipedia","all-access","2018","01","all-days","VM-DM-^ArdM-EM-!M-DM-7ira","2178","96"^M
"lv.wikipedia","all-access","2018","01","all-days","EdvM-DM-+ns_Endre","2163","97"^M
"lv.wikipedia","all-access","2018","01","all-days","ISO_8601","2161","98"^M
"lv.wikipedia","all-access","2018","01","all-days","Latvijas_PSR","2159","99"^M
"lv.wikipedia","all-access","2018","01","all-days","NM-DM-+derlande","2158","100"^M
"lv.wikipedia","all-access","2018","01","all-days","Lieldienas","2141","101"^M
"lv.wikipedia","all-access","2018","01","all-days","DM-DM-^Anija","2126","102"^M
"lv.wikipedia","all-access","2018","01","all-days","Malta","2121","103"^M
"lv.wikipedia","all-access","2018","01","all-days","Abinieki","2107","104"^M
"lv.wikipedia","all-access","2018","01","all-days","Zodiaks","2106","105"^M
"lv.wikipedia","all-access","2018","01","all-days","TrigonometriskM-DM-^As_funkcijas","2064","106"^M
"lv.wikipedia","all-access","2018","01","all-days","Putni","2057","107"^M
"lv.wikipedia","all-access","2018","01","all-days","AutoritM-DM-^Arais_KM-DM-^ArM-DM-<a_UlmaM-EM-^Fa_reM-EM->M-DM-+ms","2054","108"^M
"lv.wikipedia","all-access","2018","01","all-days","Roksolana","2051","109"^M
"lv.wikipedia","all-access","2018","01","all-days","Viduslaiki","2039","110"^M
"lv.wikipedia","all-access","2018","01","all-days","Zivis","2011","111"^M
"lv.wikipedia","all-access","2018","01","all-days","KM-DM-^Arlis_Ulmanis","1977","112"^M
"lv.wikipedia","all-access","2018","01","all-days","StarptautiskM-DM-^A_mM-DM-^SrvienM-DM-+bu_sistM-DM-^Sma","1946","113"^M
"lv.wikipedia","all-access","2018","01","all-days","DzM-DM-+vnieki","1932","114"^M
"lv.wikipedia","all-access","2018","01","all-days","IzraM-DM-^Sla","1925","115"^M
"lv.wikipedia","all-access","2018","01","all-days","VectM-DM-^Svs,_kas_bM-DM-+stamM-DM-^Aks_par_datoru","1924","116"^M
"lv.wikipedia","all-access","2018","01","all-days","Valstu_uzskaitM-DM-+jums_pM-DM-^Sc_iedzM-DM-+votM-DM-^Aju_skaita","1924","116"^M
"lv.wikipedia","all-access","2018","01","all-days","Latvijas_brM-DM-+vM-DM-+bas_cM-DM-+M-EM-^Fas","1919","118"^M
"lv.wikipedia","all-access","2018","01","all-days","Nokia_Networks","1909","119"^M
"lv.wikipedia","all-access","2018","01","all-days","Nameja_gredzens_(rotaslieta)","1908","120"^M
"lv.wikipedia","all-access","2018","01","all-days","Latgale","1900","121"^M
"lv.wikipedia","all-access","2018","01","all-days","VikipM-DM-^Sdija:Kopienas_portM-DM-^Als","1895","122"^M
"lv.wikipedia","all-access","2018","01","all-days","VikipM-DM-^Sdija:SaistM-DM-+bu_atrunas","1891","123"^M
"lv.wikipedia","all-access","2018","01","all-days","Napoleons_Bonaparts","1882","124"^M
"lv.wikipedia","all-access","2018","01","all-days","GremoM-EM-!anas_orgM-DM-^Anu_sistM-DM-^Sma","1853","125"^M
"lv.wikipedia","all-access","2018","01","all-days","Ziemas_olimpiskM-DM-^As_spM-DM-^Sles","1836","126"^M
"lv.wikipedia","all-access","2018","01","all-days","Gauja","1827","127"^M
"lv.wikipedia","all-access","2018","01","all-days","RM-DM-+gas_vM-DM-^Ssture","1825","128"^M
"lv.wikipedia","all-access","2018","01","all-days","Anda_M-DM-^LakM-EM-!a","1824","129"^M
"lv.wikipedia","all-access","2018","01","all-days","JSON","1812","130"^M
"lv.wikipedia","all-access","2018","01","all-days","Bokss","1808","131"^M
"lv.wikipedia","all-access","2018","01","all-days","VikipM-DM-^Sdija:Par","1806","132"^M
"lv.wikipedia","all-access","2018","01","all-days","KaM-DM-7is","1802","133"^M
"lv.wikipedia","all-access","2018","01","all-days","Islande","1797","134"^M
"lv.wikipedia","all-access","2018","01","all-days","Latvijas_okupM-DM-^Acija_(1940)","1792","135"^M
"lv.wikipedia","all-access","2018","01","all-days","LatvieM-EM-!u_mitoloM-DM-#ija","1790","136"^M
"lv.wikipedia","all-access","2018","01","all-days","Kurzeme","1786","137"^M
"lv.wikipedia","all-access","2018","01","all-days","Turcija","1785","138"^M
"lv.wikipedia","all-access","2018","01","all-days","Dievs,_svM-DM-^StM-DM-+_Latviju","1773","139"^M
"lv.wikipedia","all-access","2018","01","all-days","M-DM-^RM-DM-#ipte","1766","140"^M
"lv.wikipedia","all-access","2018","01","all-days","Basketbols","1764","141"^M
"lv.wikipedia","all-access","2018","01","all-days","Latvijas_karogs","1762","142"^M
"lv.wikipedia","all-access","2018","01","all-days","Kriptonauda","1754","143"^M
"lv.wikipedia","all-access","2018","01","all-days","Latvijas_klimats","1752","144"^M
"lv.wikipedia","all-access","2018","01","all-days","Ogleklis","1751","145"^M
"lv.wikipedia","all-access","2018","01","all-days","NorvM-DM-^SM-DM-#ija","1750","146"^M
"lv.wikipedia","all-access","2018","01","all-days","Saules_sistM-DM-^Sma","1747","147"^M
"lv.wikipedia","all-access","2018","01","all-days","OsmaM-EM-^Fu_impM-DM-^Srija","1743","148"^M
"lv.wikipedia","all-access","2018","01","all-days","SM-DM-+kdatne","1734","149"^M
"lv.wikipedia","all-access","2018","01","all-days","KukaiM-EM-^Fi","1729","150"^M
"lv.wikipedia","all-access","2018","01","all-days","Harijs_Poters","1723","151"^M
"lv.wikipedia","all-access","2018","01","all-days","FranM-DM-^Mu_revolM-EM-+cija","1721","152"^M
"lv.wikipedia","all-access","2018","01","all-days","LiepM-DM-^Aja","1719","153"^M
"lv.wikipedia","all-access","2018","01","all-days","MM-DM-^Srnieku_laiki","1719","153"^M
"lv.wikipedia","all-access","2018","01","all-days","OgM-DM-<hidrM-DM-^Ati","1718","155"^M
"lv.wikipedia","all-access","2018","01","all-days","KriM-EM-!jM-DM-^Anis_Barons","1713","156"^M
"lv.wikipedia","all-access","2018","01","all-days","Pelnu_diena","1709","157"^M
"lv.wikipedia","all-access","2018","01","all-days","Martins_Dukurs","1697","158"^M
"lv.wikipedia","all-access","2018","01","all-days","LatvieM-EM-!u_strM-DM-^Slnieki","1695","159"^M
"lv.wikipedia","all-access","2018","01","all-days","VikipM-DM-^Sdija:Kontakti","1692","160"^M
"lv.wikipedia","all-access","2018","01","all-days","Dzelzs","1691","161"^M
"lv.wikipedia","all-access","2018","01","all-days","Latvijas_demogrM-DM-^Afija","1685","162"^M
"lv.wikipedia","all-access","2018","01","all-days","PortugM-DM-^Ale","1683","163"^M
"lv.wikipedia","all-access","2018","01","all-days","1._maijs","1681","164"^M
"lv.wikipedia","all-access","2018","01","all-days","Latvijas_administratM-DM-+vais_iedalM-DM-+jums","1678","165"^M
"lv.wikipedia","all-access","2018","01","all-days","Tuksnesis","1671","166"^M
"lv.wikipedia","all-access","2018","01","all-days","GrieM-DM-7ija","1668","167"^M
"lv.wikipedia","all-access","2018","01","all-days","AntarktM-DM-+da","1665","168"^M
"lv.wikipedia","all-access","2018","01","all-days","VietniekvM-DM-^Ards","1649","169"^M
"lv.wikipedia","all-access","2018","01","all-days","M-EM-*dens","1632","170"^M
"lv.wikipedia","all-access","2018","01","all-days","Latvijas_M-DM-#eogrM-DM-^Afija","1620","171"^M
"lv.wikipedia","all-access","2018","01","all-days","Interneta_medija_tips","1614","172"^M
"lv.wikipedia","all-access","2018","01","all-days","Suns","1614","172"^M
"lv.wikipedia","all-access","2018","01","all-days","ParastM-DM-^A_egle","1608","174"^M
"lv.wikipedia","all-access","2018","01","all-days","Dienvidkoreja","1603","175"^M
"lv.wikipedia","all-access","2018","01","all-days","Kipra","1593","176"^M
"lv.wikipedia","all-access","2018","01","all-days","ZiemeM-DM-<koreja","1586","177"^M
"lv.wikipedia","all-access","2018","01","all-days","Gruzija","1585","178"^M
"lv.wikipedia","all-access","2018","01","all-days","Dators","1584","179"^M
"lv.wikipedia","all-access","2018","01","all-days","RM-DM-^ApuM-DM-<i","1584","179"^M
"lv.wikipedia","all-access","2018","01","all-days","LM-DM-^AM-DM-^MplM-DM-^Ssis_(eposs)","1577","181"^M
"lv.wikipedia","all-access","2018","01","all-days","Mitrais_tropu_meM-EM->s","1576","182"^M
"lv.wikipedia","all-access","2018","01","all-days","Baroks","1576","182"^M
"lv.wikipedia","all-access","2018","01","all-days","Eduards_Veidenbaums","1575","184"^M
"lv.wikipedia","all-access","2018","01","all-days","KanM-DM-^Ada","1571","185"^M
"lv.wikipedia","all-access","2018","01","all-days","IndonM-DM-^Szija","1567","186"^M
"lv.wikipedia","all-access","2018","01","all-days","Jauda","1560","187"^M
"lv.wikipedia","all-access","2018","01","all-days","IekM-EM-!dedzes_dzinM-DM-^Sjs","1556","188"^M
"lv.wikipedia","all-access","2018","01","all-days","IslM-DM-^Ams","1550","189"^M
"lv.wikipedia","all-access","2018","01","all-days","SkaM-EM-^Fa","1544","190"^M
"lv.wikipedia","all-access","2018","01","all-days","KazahstM-DM-^Ana","1537","191"^M
"lv.wikipedia","all-access","2018","01","all-days","KristietM-DM-+ba","1537","191"^M
"lv.wikipedia","all-access","2018","01","all-days","Aleksandrs_M-DM-^Laks","1526","193"^M
"lv.wikipedia","all-access","2018","01","all-days","Romas_impM-DM-^Srija","1525","194"^M
"lv.wikipedia","all-access","2018","01","all-days","MM-EM-+zikas_instruments","1519","195"^M
"lv.wikipedia","all-access","2018","01","all-days","Selims_II","1519","195"^M
"lv.wikipedia","all-access","2018","01","all-days","Vidzeme","1518","197"^M
"lv.wikipedia","all-access","2018","01","all-days","UgunsGrM-DM-^Sks","1518","197"^M
"lv.wikipedia","all-access","2018","01","all-days","Elizabete_II_Vindzora","1509","199"^M
"lv.wikipedia","all-access","2018","01","all-days","CilvM-DM-^Ska_temperaments","1506","200"^M
"lv.wikipedia","all-access","2018","01","all-days","Proza","1500","201"^M
"lv.wikipedia","all-access","2018","01","all-days","Sirds","1490","202"^M
"lv.wikipedia","all-access","2018","01","all-days","SenM-DM-^A_M-DM-^RM-DM-#ipte","1490","202"^M
"lv.wikipedia","all-access","2018","01","all-days","MM-DM-^Sness","1483","204"^M
"lv.wikipedia","all-access","2018","01","all-days","Savanna","1481","205"^M
"lv.wikipedia","all-access","2018","01","all-days","Taizeme","1480","206"^M
"lv.wikipedia","all-access","2018","01","all-days","Valstu_uzskaitM-DM-+jums_pM-DM-^Sc_platM-DM-+bas","1462","207"^M
"lv.wikipedia","all-access","2018","01","all-days","Zemgale","1461","208"^M
"lv.wikipedia","all-access","2018","01","all-days","KriM-EM-!jM-DM-^Anis_ValdemM-DM-^Ars","1459","209"^M
"lv.wikipedia","all-access","2018","01","all-days","Latvijas_M-DM-#erbonis","1459","209"^M
"lv.wikipedia","all-access","2018","01","all-days","SveM-EM-!M-DM-^A_seja","1457","211"^M
"lv.wikipedia","all-access","2018","01","all-days","RiM-EM-^FM-DM-7a_lM-DM-+nija","1453","212"^M
"lv.wikipedia","all-access","2018","01","all-days","AgrM-DM-^ArM-DM-^A_reforma_LatvijM-DM-^A","1448","213"^M
"lv.wikipedia","all-access","2018","01","all-days","JM-DM-^Anis_M-DM-^Lakste","1445","214"^M
"lv.wikipedia","all-access","2018","01","all-days","Upe","1439","215"^M
"lv.wikipedia","all-access","2018","01","all-days","ReformM-DM-^Acija","1431","216"^M
"lv.wikipedia","all-access","2018","01","all-days","SVID_analM-DM-+ze","1431","216"^M
"lv.wikipedia","all-access","2018","01","all-days","Kategorija:LatvieM-EM-!u_rakstnieki","1430","218"^M
"lv.wikipedia","all-access","2018","01","all-days","Autisms","1428","219"^M
"lv.wikipedia","all-access","2018","01","all-days","AngM-DM-<u_valoda","1428","219"^M
"lv.wikipedia","all-access","2018","01","all-days","Latvijas_Republikas_Satversme","1425","221"^M
"lv.wikipedia","all-access","2018","01","all-days","Romantisms","1424","222"^M
"lv.wikipedia","all-access","2018","01","all-days","Krusta_kari","1423","223"^M
"lv.wikipedia","all-access","2018","01","all-days","GrM-DM-^AmatvedM-DM-+ba","1420","224"^M
"lv.wikipedia","all-access","2018","01","all-days","VM-DM-^Acijas_pilsM-DM-^Stu_uzskaitM-DM-+jums","1415","225"^M
"lv.wikipedia","all-access","2018","01","all-days","Austrija","1412","226"^M
"lv.wikipedia","all-access","2018","01","all-days","Special:Statistics","1409","227"^M
"lv.wikipedia","all-access","2018","01","all-days","Kategorija:LatvieM-EM-!u_teM-DM-^Atra_aktieri","1408","228"^M
"lv.wikipedia","all-access","2018","01","all-days","Livonija","1406","229"^M
"lv.wikipedia","all-access","2018","01","all-days","M-DM-^LM-EM-+skas","1404","230"^M
"lv.wikipedia","all-access","2018","01","all-days","Kategorija:KokapstrM-DM-^Ade","1404","230"^M
"lv.wikipedia","all-access","2018","01","all-days","M-DM-^@dolfs_Hitlers","1403","232"^M
"lv.wikipedia","all-access","2018","01","all-days","MetM-DM-^Ali","1402","233"^M
"lv.wikipedia","all-access","2018","01","all-days","AM-DM-<ona_Ostapenko","1396","234"^M
"lv.wikipedia","all-access","2018","01","all-days","TM-DM-^Srauds","1393","235"^M
"lv.wikipedia","all-access","2018","01","all-days","Saeima","1391","236"^M
"lv.wikipedia","all-access","2018","01","all-days","AlfabM-DM-^Sts","1387","237"^M
"lv.wikipedia","all-access","2018","01","all-days","Latvijas_Republikas_Ministru_kabinets","1384","238"^M
"lv.wikipedia","all-access","2018","01","all-days","VikipM-DM-^Sdija:AktualitM-DM-^Ates","1375","239"^M
"lv.wikipedia","all-access","2018","01","all-days","Zevs","1361","240"^M
"lv.wikipedia","all-access","2018","01","all-days","Impresionisms","1356","241"^M
"lv.wikipedia","all-access","2018","01","all-days","VM-DM-^Averes","1353","242"^M
"lv.wikipedia","all-access","2018","01","all-days","SenM-DM-^A_Divupe","1346","243"^M
"lv.wikipedia","all-access","2018","01","all-days","ValentM-DM-+na_diena","1342","244"^M
"lv.wikipedia","all-access","2018","01","all-days","Budisms","1340","245"^M
"lv.wikipedia","all-access","2018","01","all-days","PelM-DM-^Skais_vilks","1334","246"^M
"lv.wikipedia","all-access","2018","01","all-days","2018._gads","1333","247"^M
"lv.wikipedia","all-access","2018","01","all-days","DzM-DM-+vnieku_ferma","1332","248"^M
"lv.wikipedia","all-access","2018","01","all-days","MM-DM-^Als","1329","249"^M
"lv.wikipedia","all-access","2018","01","all-days","Eiro","1328","250"^M
"lv.wikipedia","all-access","2018","01","all-days","Latvijas_valsts_pasludinM-DM-^AM-EM-!ana","1326","251"^M
"lv.wikipedia","all-access","2018","01","all-days","MM-DM-^ArtiM-EM-^Fi","1323","252"^M
"lv.wikipedia","all-access","2018","01","all-days","JM-DM-^Anis_JaunsudrabiM-EM-^FM-EM-!","1320","253"^M
"lv.wikipedia","all-access","2018","01","all-days","Epitets","1318","254"^M
"lv.wikipedia","all-access","2018","01","all-days","SlM-DM-^Apeklis","1318","254"^M
"lv.wikipedia","all-access","2018","01","all-days","IeM-EM->i","1317","256"^M
"lv.wikipedia","all-access","2018","01","all-days","Alberts_EinM-EM-!teins","1314","257"^M
"lv.wikipedia","all-access","2018","01","all-days","Ukraina","1313","258"^M
"lv.wikipedia","all-access","2018","01","all-days","JM-EM-+gendstils","1312","259"^M
"lv.wikipedia","all-access","2018","01","all-days","TrijstM-EM-+ris","1306","260"^M
"lv.wikipedia","all-access","2018","01","all-days","Spirti","1303","261"^M
"lv.wikipedia","all-access","2018","01","all-days","EmM-DM-+la_nedarbi","1298","262"^M
"lv.wikipedia","all-access","2018","01","all-days","DienvidM-DM-^Afrika","1297","263"^M
"lv.wikipedia","all-access","2018","01","all-days","Anglija","1293","264"^M
"lv.wikipedia","all-access","2018","01","all-days","Tundra","1292","265"^M
"lv.wikipedia","all-access","2018","01","all-days","SkM-DM-^Abeklis","1291","266"^M
"lv.wikipedia","all-access","2018","01","all-days","Latvijas_neatkarM-DM-+bas_atjaunoM-EM-!ana","1291","266"^M
"lv.wikipedia","all-access","2018","01","all-days","OrM-DM-7estris","1290","268"^M
"lv.wikipedia","all-access","2018","01","all-days","Metafora","1290","268"^M
"lv.wikipedia","all-access","2018","01","all-days","Raimonds_VM-DM-^Sjonis","1288","270"^M
"lv.wikipedia","all-access","2018","01","all-days","Johans_Sebastians_Bahs","1286","271"^M
"lv.wikipedia","all-access","2018","01","all-days","HektM-DM-^Ars","1283","272"^M
"lv.wikipedia","all-access","2018","01","all-days","Josifs_StaM-DM-<ins","1277","273"^M
"lv.wikipedia","all-access","2018","01","all-days","NATO","1275","274"^M
"lv.wikipedia","all-access","2018","01","all-days","LatvieM-EM-!u_virtuve","1274","275"^M
"lv.wikipedia","all-access","2018","01","all-days","1905._gada_revolM-EM-+cija_LatvijM-DM-^A","1274","275"^M
"lv.wikipedia","all-access","2018","01","all-days","BrazM-DM-+lija","1268","277"^M
"lv.wikipedia","all-access","2018","01","all-days","Pitagora_teorM-DM-^Sma","1267","278"^M
"lv.wikipedia","all-access","2018","01","all-days","Jelgava","1265","279"^M
"lv.wikipedia","all-access","2018","01","all-days","BeM-DM-<M-DM-#ija","1264","280"^M
"lv.wikipedia","all-access","2018","01","all-days","Pirmskaitlis","1264","280"^M
"lv.wikipedia","all-access","2018","01","all-days","Volfgangs_Amadejs_Mocarts","1263","282"^M
"lv.wikipedia","all-access","2018","01","all-days","C_reaktM-DM-+vais_olbaltums","1256","283"^M
"lv.wikipedia","all-access","2018","01","all-days","VitamM-DM-+ni","1254","284"^M
"lv.wikipedia","all-access","2018","01","all-days","2017._gada_laikapstM-DM-^AkM-DM-<i_LatvijM-DM-^A","1254","284"^M
"lv.wikipedia","all-access","2018","01","all-days","MiM-DM-7eM-DM-<i","1254","284"^M
"lv.wikipedia","all-access","2018","01","all-days","Latvijas_hokeja_izlase","1252","287"^M
"lv.wikipedia","all-access","2018","01","all-days","Cukura_diabM-DM-^Sts","1251","288"^M
"lv.wikipedia","all-access","2018","01","all-days","Valmiera","1249","289"^M
"lv.wikipedia","all-access","2018","01","all-days","M-DM-*rija","1249","289"^M
"lv.wikipedia","all-access","2018","01","all-days","Kategorija:LatvieM-EM-!u_komponisti","1245","291"^M
"lv.wikipedia","all-access","2018","01","all-days","AttM-DM-^Sls:Crystal_Clear_app_kedit.png","1241","292"^M
"lv.wikipedia","all-access","2018","01","all-days","KultM-EM-+ra","1238","293"^M
"lv.wikipedia","all-access","2018","01","all-days","Kategorija:LatvieM-EM-!u_uzvM-DM-^Ardi","1230","294"^M
"lv.wikipedia","all-access","2018","01","all-days","Veidne:Latvijas_lielM-DM-^AkM-DM-^As_pilsM-DM-^Stas","1229","295"^M
"lv.wikipedia","all-access","2018","01","all-days","MarihuM-DM-^Ana","1226","296"^M
"lv.wikipedia","all-access","2018","01","all-days","M-EM-*deM-EM-^Fradis","1219","297"^M
"lv.wikipedia","all-access","2018","01","all-days","Venta","1212","298"^M
"lv.wikipedia","all-access","2018","01","all-days","Special:RecentChangesLinked","1202","299"^M
